ledger_id,activity_date,contractor_id,mapped_dealer_id,activity_type,points_delta,bill_value,approval_status,note
ASPCONLED00000640,2025-05-18,ASPCON002812,ASPDLR000113,points redemption,-355,73827.92,approved,
ASPCONLED00000641,2025-05-05,ASPCON003905,ASPDLR000817,site lead,-375,26615.16,duplicate,dealer mismatch
ASPCONLED00000642,2024-05-28,ASPCON003716,ASPDLR000579,bill upload,660,1132.83,pending,dealer mismatch
ASPCONLED00000643,2025-01-22,ASPCON003583,ASPDLR000286,training,-366,13454.17,rejected,bill image unclear
ASPCONLED00000644,2026-01-12,ASPCON002725,ASPDLR000704,complaint assist,-456,25133.10,manual,dealer mismatch
ASPCONLED00000645,2024-11-21,ASPCON003070,ASPDLR000066,training,605,42400.57,rejected,redeemed gift
ASPCONLED00000646,23/09/2024,ASPCON003102,ASPDLR000978,points redemption,2284,40121.68,rejected,
ASPCONLED00000647,2025-10-06,ASPCON003457,ASPDLR000067,points redemption,-75,9417.30,rejected,bill image unclear
ASPCONLED00000648,2024-06-24,ASPCON003608,ASPDLR000780,training,951,31168.40,approved,site closed
ASPCONLED00000649,2024-08-24,ASPCON002035,ASPDLR000463,bill upload,2179,31707.68,pending,
ASPCONLED00000650,02/23/2025,ASPCON003951,ASPDLR000301,points redemption,-185,45486.44,manual,
ASPCONLED00000651,03/06/2026,ASPCON000977,ASPDLR000032,points redemption,1092,69919.36,manual,
ASPCONLED00000652,20/05/2024,ASPCON003973,ASPDLR000870,complaint assist,-345,34834.61,manual,dealer mismatch
ASPCONLED00000653,2024-10-22,ASPCON004326,ASPDLR000220,site lead,2163,10519.59,pending,
ASPCONLED00000654,2024-12-19,ASPCON001281,ASPDLR000249,complaint assist,2283,69310.11,rejected,bill image unclear
ASPCONLED00000655,19/07/2025,ASPCON003171,ASPDLR000811,site lead,588,67295.59,pending,bill image unclear
ASPCONLED00000656,2025-02-18,ASPCON003612,ASPDLR000957,training,623,37736.93,pending,bill image unclear
ASPCONLED00000657,2024-11-22,ASPCON003586,ASPDLR000182,training,886,48788.54,duplicate,bill image unclear
ASPCONLED00000658,2024-08-02,ASPCON000222,ASPDLR000657,complaint assist,-391,72075.48,manual,bill image unclear
ASPCONLED00000659,2025-04-11,ASPCON004675,ASPDLR000792,points redemption,1056,32681.93,approved,site closed
ASPCONLED00000660,06-Nov-25,ASPCON002330,ASPDLR000731,training,-50,64674.73,rejected,dealer mismatch
ASPCONLED00000661,2025-07-09,ASPCON004208,ASPDLR000075,bill upload,1740,49446.79,manual,
ASPCONLED00000662,2025-04-20,ASPCON004593,ASPDLR000552,bill upload,-152,461.04,approved,
ASPCONLED00000663,2024-05-19,ASPCON000908,ASPDLR000390,training,1518,65059.67,manual,redeemed gift
ASPCONLED00000664,2025-08-18,ASPCON004489,ASPDLR000945,points redemption,1464,81278.87,manual,redeemed gift
ASPCONLED00000665,2025-06-30,ASPCON002498,ASPDLR000298,bill upload,523,75733.82,pending,site closed
ASPCONLED00000666,2024-10-10,ASPCON004338,ASPDLR000001,bill upload,2160,88811.58,rejected,redeemed gift
ASPCONLED00000667,2025-06-23,ASPCON004018,ASPDLR000964,complaint assist,2036,42342.88,manual,site closed
ASPCONLED00000668,2025-03-13,ASPCON001136,ASPDLR000552,site lead,560,67661.59,approved,
ASPCONLED00000669,2024-04-21,ASPCON004287,ASPDLR000386,points redemption,2196,68273.06,manual,redeemed gift
ASPCONLED00000670,07/03/2024,ASPCON001948,ASPDLR000005,training,443,32947.07,manual,
ASPCONLED00000671,2025-11-28,ASPCON002222,ASPDLR000782,points redemption,-177,56656.20,rejected,bill image unclear
ASPCONLED00000672,2025-04-04,ASPCON004104,ASPDLR000403,points redemption,1090,8256.37,duplicate,
ASPCONLED00000673,2026-02-16,ASPCON000262,ASPDLR000450,site lead,1192,16735.24,rejected,bill image unclear
ASPCONLED00000674,25/10/2025,ASPCON003137,ASPDLR000710,site lead,405,14283.60,approved,site closed
ASPCONLED00000675,2024-06-16,ASPCON004763,ASPDLR000359,bill upload,1401,25158.00,approved,bill image unclear
ASPCONLED00000676,21-Dec-25,ASPCON004651,ASPDLR000100,complaint assist,1478,26743.17,rejected,
ASPCONLED00000677,2025-11-03,ASPCON000630,ASPDLR000656,bill upload,1627,56027.90,duplicate,redeemed gift
ASPCONLED00000678,2024-04-12,ASPCON003160,ASPDLR000349,points redemption,1273,31242.91,manual,dealer mismatch
ASPCONLED00000679,2024-09-10,ASPCON002260,ASPDLR000018,training,734,66016.73,duplicate,site closed
ASPCONLED00000680,2024-11-19,ASPCON002609,ASPDLR000019,complaint assist,906,66489.02,pending,site closed
ASPCONLED00000681,30/01/2026,ASPCON003415,ASPDLR000524,site lead,2126,52426.60,duplicate,bill image unclear
ASPCONLED00000682,22-Sep-24,ASPCON004906,ASPDLR000860,complaint assist,1121,58705.44,manual,
ASPCONLED00000683,2025-08-24,ASPCON004808,ASPDLR000922,bill upload,1726,32511.76,rejected,site closed
ASPCONLED00000684,2025-07-08,ASPCON000714,ASPDLR000291,training,2335,51513.40,duplicate,redeemed gift
ASPCONLED00000685,2026-02-08,ASPCON002432,ASPDLR000574,site lead,-73,13801.86,manual,site closed
ASPCONLED00000686,2025-11-14,ASPCON002398,ASPDLR000874,training,802,32116.62,rejected,bill image unclear
ASPCONLED00000687,2024-07-09,ASPCON004959,ASPDLR000766,points redemption,717,19862.94,rejected,
ASPCONLED00000688,2024-07-09,ASPCON000172,ASPDLR000978,bill upload,-69,65797.49,duplicate,site closed
ASPCONLED00000689,2024-04-18,ASPCON002008,ASPDLR000339,complaint assist,1692,71764.06,rejected,site closed
ASPCONLED00000690,25/03/2026,ASPCON001794,ASPDLR000510,training,-454,51869.31,duplicate,redeemed gift
ASPCONLED00000691,2026-01-18,ASPCON000449,ASPDLR000936,bill upload,372,56480.31,duplicate,
ASPCONLED00000692,2025-06-03,ASPCON003583,ASPDLR000286,site lead,2208,87622.06,rejected,
ASPCONLED00000693,2024-09-01,ASPCON001866,ASPDLR000564,points redemption,2463,41636.24,manual,bill image unclear
ASPCONLED00000694,16/06/2024,ASPCON001052,ASPDLR000683,complaint assist,-20,61558.57,manual,bill image unclear
ASPCONLED00000695,09/26/2025,ASPCON001499,ASPDLR000918,points redemption,783,34523.63,approved,site closed
ASPCONLED00000696,2024-12-26,ASPCON001288,ASPDLR000245,bill upload,1701,8527.28,rejected,site closed
ASPCONLED00000697,2025-11-24,ASPCON004008,ASPDLR000313,bill upload,258,84467.41,manual,site closed
ASPCONLED00000698,2025-02-10,ASPCON004672,ASPDLR000079,complaint assist,1285,37435.47,pending,dealer mismatch
ASPCONLED00000699,2026-01-16,ASPCON002588,ASPDLR000517,training,771,88288.10,pending,redeemed gift
ASPCONLED00000700,2025-01-24,ASPCON001325,ASPDLR000399,bill upload,775,39571.18,duplicate,
ASPCONLED00000701,2026-03-30,ASPCON001213,ASPDLR000707,training,555,51006.87,rejected,redeemed gift
ASPCONLED00000702,2024-10-06,ASPCON000248,ASPDLR000124,site lead,22,22427.84,pending,dealer mismatch
ASPCONLED00000703,2025-09-12,ASPCON002797,ASPDLR000490,complaint assist,1965,19562.80,rejected,site closed
ASPCONLED00000704,09-May-25,ASPCON001955,ASPDLR000126,bill upload,33,32139.81,manual,redeemed gift
ASPCONLED00000705,2024-04-20,ASPCON003892,ASPDLR000595,points redemption,852,2271.34,duplicate,dealer mismatch
ASPCONLED00000706,2025-09-21,ASPCON002692,ASPDLR000057,site lead,1763,86747.20,pending,dealer mismatch
ASPCONLED00000707,28/07/2024,ASPCON002500,ASPDLR000818,training,527,83362.97,approved,redeemed gift
ASPCONLED00000708,09-Apr-24,ASPCON004774,ASPDLR000559,points redemption,769,33423.78,pending,redeemed gift
ASPCONLED00000709,2025-08-20,ASPCON000533,ASPDLR000179,points redemption,886,38876.12,pending,site closed
ASPCONLED00000710,2025-09-15,ASPCON001602,ASPDLR000461,training,1294,81050.05,manual,redeemed gift
ASPCONLED00000711,2024-06-02,ASPCON004304,ASPDLR000365,training,1288,81077.23,pending,bill image unclear
ASPCONLED00000712,2024-04-09,ASPCON000185,ASPDLR000861,training,1393,70700.63,manual,
ASPCONLED00000713,2026-02-24,ASPCON000683,ASPDLR000008,bill upload,1030,28229.65,approved,site closed
ASPCONLED00000714,2024-06-26,ASPCON001600,ASPDLR000314,training,-148,72991.99,pending,site closed
ASPCONLED00000715,2025-12-12,ASPCON004347,ASPDLR000655,site lead,875,41592.21,approved,bill image unclear
ASPCONLED00000716,2024-05-31,ASPCON001375,ASPDLR000320,training,1079,71794.57,manual,bill image unclear
ASPCONLED00000717,09/20/2024,ASPCON002798,ASPDLR000025,training,996,54234.75,rejected,site closed
ASPCONLED00000718,2026-03-22,ASPCON001106,ASPDLR000087,complaint assist,275,86884.14,rejected,site closed
ASPCONLED00000719,05/21/2025,ASPCON000023,ASPDLR000102,complaint assist,545,10940.64,manual,site closed
ASPCONLED00000720,2025-08-03,ASPCON003720,ASPDLR000313,bill upload,1097,50839.37,rejected,redeemed gift
ASPCONLED00000721,12/08/2025,ASPCON000250,ASPDLR000733,training,977,19926.98,pending,site closed
ASPCONLED00000722,2024-07-26,ASPCON000295,ASPDLR000896,training,2002,82325.73,duplicate,site closed
ASPCONLED00000723,2025-10-11,ASPCON001705,ASPDLR000642,bill upload,162,45470.82,duplicate,
ASPCONLED00000724,2026-02-12,ASPCON000545,ASPDLR000054,training,787,37750.80,approved,bill image unclear
ASPCONLED00000725,2025-07-10,ASPCON000645,ASPDLR000347,complaint assist,1228,75220.16,duplicate,site closed
ASPCONLED00000726,2025-05-17,ASPCON004118,ASPDLR000515,points redemption,-299,44489.06,pending,bill image unclear
ASPCONLED00000727,2025-05-19,ASPCON002850,ASPDLR000701,bill upload,561,45986.06,duplicate,site closed
ASPCONLED00000728,18/09/2025,ASPCON004091,ASPDLR000907,points redemption,349,48896.64,pending,site closed
ASPCONLED00000729,15/09/2025,ASPCON003466,ASPDLR000964,bill upload,1727,28256.41,approved,dealer mismatch
ASPCONLED00000730,2024-09-21,ASPCON001068,ASPDLR000931,site lead,-175,53050.37,approved,redeemed gift
ASPCONLED00000731,2026-02-16,ASPCON002952,ASPDLR000365,site lead,2324,36941.64,duplicate,redeemed gift
ASPCONLED00000732,2024-11-17,ASPCON000202,ASPDLR000167,complaint assist,2311,722.96,manual,
ASPCONLED00000733,2025-03-24,ASPCON002031,ASPDLR000363,points redemption,2391,19989.23,rejected,dealer mismatch
ASPCONLED00000734,16/10/2025,ASPCON004569,ASPDLR000977,site lead,591,9509.15,pending,dealer mismatch
ASPCONLED00000735,2024-10-31,ASPCON001004,ASPDLR000860,training,568,4142.53,rejected,
ASPCONLED00000736,2025-11-05,ASPCON003739,ASPDLR000764,training,2010,45651.66,rejected,dealer mismatch
ASPCONLED00000737,2025-04-28,ASPCON002872,ASPDLR000822,points redemption,1300,16329.85,rejected,bill image unclear
ASPCONLED00000738,2024-09-22,ASPCON001434,ASPDLR000969,bill upload,-203,53840.03,manual,redeemed gift
ASPCONLED00000739,2024-10-22,ASPCON002914,ASPDLR000233,site lead,327,81541.83,approved,redeemed gift
ASPCONLED00000740,2024-09-27,ASPCON000178,ASPDLR000948,training,1593,33747.23,duplicate,bill image unclear
ASPCONLED00000741,2024-08-25,ASPCON001653,ASPDLR000393,bill upload,1352,5903.47,approved,
ASPCONLED00000742,2025-11-03,ASPCON001982,ASPDLR000903,site lead,2052,58391.30,rejected,
ASPCONLED00000743,03/28/2026,ASPCON002135,ASPDLR000200,points redemption,-84,6106.51,manual,
ASPCONLED00000744,2025-02-08,ASPCON000778,ASPDLR000648,bill upload,293,79737.11,pending,
ASPCONLED00000745,2024-04-05,ASPCON002384,ASPDLR000520,training,1891,38592.98,duplicate,bill image unclear
ASPCONLED00000746,2026-02-28,ASPCON002923,ASPDLR000050,training,882,22367.43,duplicate,site closed
ASPCONLED00000747,2024-10-23,ASPCON000810,ASPDLR000809,bill upload,2306,88238.79,duplicate,site closed
ASPCONLED00000748,2025-04-22,ASPCON002795,ASPDLR001000,points redemption,-74,32560.55,rejected,dealer mismatch
ASPCONLED00000749,2025-11-05,ASPCON000058,ASPDLR000577,points redemption,1150,3530.85,rejected,bill image unclear
ASPCONLED00000750,2025-08-14,ASPCON004640,ASPDLR000266,complaint assist,183,18684.43,manual,site closed
ASPCONLED00000751,2025-12-15,ASPCON004002,ASPDLR000787,points redemption,2324,19265.88,manual,bill image unclear
ASPCONLED00000752,06/30/2024,ASPCON002230,ASPDLR000034,site lead,1547,85886.64,pending,redeemed gift
ASPCONLED00000753,26/05/2025,ASPCON001355,ASPDLR000652,complaint assist,2305,43655.29,pending,site closed
ASPCONLED00000754,2024-08-21,ASPCON002988,ASPDLR000258,points redemption,-419,53586.62,pending,dealer mismatch
ASPCONLED00000755,11/03/2025,ASPCON001407,ASPDLR000403,training,-436,60640.59,manual,bill image unclear
ASPCONLED00000756,2025-12-28,ASPCON004684,ASPDLR000326,site lead,24,75831.03,approved,redeemed gift
ASPCONLED00000757,2025-08-09,ASPCON003220,ASPDLR000891,complaint assist,2391,43745.56,rejected,dealer mismatch
ASPCONLED00000758,2025-07-01,ASPCON000972,ASPDLR000756,bill upload,509,72962.21,duplicate,redeemed gift
ASPCONLED00000759,2025-02-04,ASPCON002549,ASPDLR000987,site lead,582,7057.15,duplicate,site closed
ASPCONLED00000760,2025-02-28,ASPCON003840,ASPDLR000524,points redemption,1153,85880.74,rejected,
ASPCONLED00000761,2025-07-14,ASPCON000837,ASPDLR000161,bill upload,2040,58098.62,approved,redeemed gift
ASPCONLED00000762,15/06/2025,ASPCON001979,ASPDLR000778,bill upload,2494,89830.23,rejected,bill image unclear
ASPCONLED00000763,2025-01-18,ASPCON003128,ASPDLR000399,complaint assist,1851,77457.85,duplicate,redeemed gift
ASPCONLED00000764,2025-02-05,ASPCON000965,ASPDLR000747,points redemption,980,61474.75,duplicate,site closed
ASPCONLED00000765,2025-11-29,ASPCON001062,ASPDLR000477,training,169,25805.26,approved,bill image unclear
ASPCONLED00000766,2026-03-27,ASPCON001109,ASPDLR000254,training,2,54971.46,duplicate,
ASPCONLED00000767,2024-11-23,ASPCON003250,ASPDLR000836,training,1160,11529.30,duplicate,site closed
ASPCONLED00000768,01-Apr-25,ASPCON004620,ASPDLR000289,points redemption,-62,56967.32,manual,bill image unclear
ASPCONLED00000769,2025-11-13,ASPCON004045,ASPDLR000761,complaint assist,975,11833.60,rejected,redeemed gift
ASPCONLED00000770,14/01/2026,ASPCON002526,ASPDLR000169,points redemption,2307,76721.62,rejected,dealer mismatch
ASPCONLED00000771,2024-10-01,ASPCON003728,ASPDLR000328,points redemption,781,47657.71,pending,site closed
ASPCONLED00000772,2025-11-03,ASPCON004674,ASPDLR000240,training,2398,35030.03,manual,redeemed gift
ASPCONLED00000773,2025-11-25,ASPCON003061,ASPDLR000093,site lead,114,54870.55,rejected,
ASPCONLED00000774,04/06/2024,ASPCON001570,ASPDLR000893,complaint assist,531,34942.91,rejected,site closed
ASPCONLED00000775,2026-01-25,ASPCON004079,ASPDLR000504,complaint assist,1836,55805.96,rejected,
ASPCONLED00000776,2025-04-14,ASPCON000979,ASPDLR000795,training,2398,64528.37,manual,
ASPCONLED00000777,2025-04-19,ASPCON003639,ASPDLR000369,points redemption,546,53155.93,duplicate,dealer mismatch
ASPCONLED00000778,2025-04-22,ASPCON000890,ASPDLR000422,site lead,435,41279.42,rejected,dealer mismatch
ASPCONLED00000779,2024-07-10,ASPCON000517,ASPDLR000302,points redemption,-174,43057.83,duplicate,dealer mismatch
ASPCONLED00000780,2024-05-11,ASPCON000932,ASPDLR000239,training,941,1319.43,manual,
ASPCONLED00000781,12/07/2025,ASPCON002203,ASPDLR000716,points redemption,-129,74906.39,approved,bill image unclear
ASPCONLED00000782,2025-08-27,ASPCON004499,ASPDLR000961,site lead,846,19755.58,manual,dealer mismatch
ASPCONLED00000783,10/10/2025,ASPCON004161,ASPDLR000544,complaint assist,2216,69264.33,manual,redeemed gift
ASPCONLED00000784,21/08/2024,ASPCON003896,ASPDLR000729,training,313,3140.10,approved,dealer mismatch
ASPCONLED00000785,2024-08-11,ASPCON002725,ASPDLR000704,points redemption,1591,76864.44,approved,
ASPCONLED00000786,2024-06-13,ASPCON002976,ASPDLR000200,bill upload,169,77723.60,pending,redeemed gift
ASPCONLED00000787,2024-05-31,ASPCON004854,ASPDLR000492,training,606,24107.37,duplicate,redeemed gift
ASPCONLED00000788,2026-02-20,ASPCON002829,ASPDLR000396,bill upload,514,61278.62,manual,
ASPCONLED00000789,01/09/2026,ASPCON000203,ASPDLR000366,bill upload,1261,38984.71,duplicate,bill image unclear
ASPCONLED00000790,21/11/2024,ASPCON004200,ASPDLR000619,bill upload,519,87097.88,duplicate,bill image unclear
ASPCONLED00000791,2024-04-28,ASPCON004268,ASPDLR000432,complaint assist,-409,64412.15,rejected,redeemed gift
ASPCONLED00000792,2025-03-01,ASPCON003764,ASPDLR000782,training,2334,47039.26,duplicate,site closed
ASPCONLED00000793,30/10/2024,ASPCON001415,ASPDLR000511,training,602,46761.52,duplicate,redeemed gift
ASPCONLED00000794,2025-09-16,ASPCON002613,ASPDLR000852,complaint assist,13,56169.79,approved,bill image unclear
ASPCONLED00000795,06/22/2024,ASPCON002028,ASPDLR000600,bill upload,1320,44273.05,rejected,dealer mismatch
ASPCONLED00000796,05/04/2024,ASPCON000714,ASPDLR000291,site lead,-303,32616.19,duplicate,bill image unclear
ASPCONLED00000797,2025-05-28,ASPCON004609,ASPDLR000023,complaint assist,746,29766.95,rejected,
ASPCONLED00000798,2024-06-19,ASPCON004684,ASPDLR000326,site lead,815,55228.32,manual,redeemed gift
ASPCONLED00000799,2024-10-12,ASPCON001924,ASPDLR000682,complaint assist,1294,77065.48,pending,bill image unclear
ASPCONLED00000800,2025-10-31,ASPCON001806,ASPDLR000409,bill upload,2492,72915.19,manual,site closed
ASPCONLED00000801,30-Apr-24,ASPCON002419,ASPDLR000663,training,1006,34230.75,rejected,site closed
ASPCONLED00000802,2025-11-19,ASPCON001357,ASPDLR000028,bill upload,-463,55871.63,pending,bill image unclear
ASPCONLED00000803,2025-04-08,ASPCON000772,ASPDLR000490,complaint assist,1062,19307.35,pending,redeemed gift
ASPCONLED00000804,2025-05-31,ASPCON003253,ASPDLR000049,training,-194,6959.28,pending,bill image unclear
ASPCONLED00000805,30/04/2024,ASPCON003714,ASPDLR000912,points redemption,280,46351.64,rejected,dealer mismatch
ASPCONLED00000806,2026-02-01,ASPCON001254,ASPDLR000649,complaint assist,591,32021.63,rejected,redeemed gift
ASPCONLED00000807,2025-11-27,ASPCON001537,ASPDLR000571,bill upload,2307,56248.27,rejected,bill image unclear
ASPCONLED00000808,2024-10-31,ASPCON001229,ASPDLR000319,training,94,37137.23,duplicate,bill image unclear
ASPCONLED00000809,2025-09-04,ASPCON003121,ASPDLR000626,bill upload,2135,52032.64,duplicate,dealer mismatch
ASPCONLED00000810,16/11/2025,ASPCON003076,ASPDLR000363,points redemption,486,11837.85,approved,
ASPCONLED00000811,2026-03-30,ASPCON002053,ASPDLR000963,complaint assist,365,49712.97,manual,
ASPCONLED00000812,2025-02-14,ASPCON000370,ASPDLR000227,site lead,1211,52983.59,pending,redeemed gift
ASPCONLED00000813,2025-09-01,ASPCON002206,ASPDLR000994,points redemption,34,36599.55,approved,redeemed gift
ASPCONLED00000814,2026-02-02,ASPCON002188,ASPDLR000473,complaint assist,1271,62145.43,approved,bill image unclear
ASPCONLED00000815,2026-03-08,ASPCON001094,ASPDLR000277,points redemption,1468,79956.21,duplicate,site closed
ASPCONLED00000816,2025-07-08,ASPCON003225,ASPDLR000527,complaint assist,-21,41881.92,pending,dealer mismatch
ASPCONLED00000817,2025-10-08,ASPCON003379,ASPDLR000043,site lead,1267,20398.09,manual,
ASPCONLED00000818,2025-06-08,ASPCON003704,ASPDLR000929,points redemption,1222,80544.60,pending,dealer mismatch
ASPCONLED00000819,2025-05-17,ASPCON002158,ASPDLR000825,site lead,2427,50863.45,pending,
ASPCONLED00000820,2025-06-08,ASPCON002837,ASPDLR000587,site lead,-323,63874.05,duplicate,bill image unclear
ASPCONLED00000821,2025-12-24,ASPCON000268,ASPDLR000193,training,458,89076.99,rejected,redeemed gift
ASPCONLED00000822,12/02/2025,ASPCON003385,ASPDLR000469,points redemption,1423,58887.64,duplicate,redeemed gift
ASPCONLED00000823,06/09/2024,ASPCON002964,ASPDLR000718,points redemption,2374,26219.95,pending,dealer mismatch
ASPCONLED00000824,2024-09-07,ASPCON004472,ASPDLR000756,training,1282,46882.38,approved,site closed
ASPCONLED00000825,2025-04-15,ASPCON001996,ASPDLR000675,bill upload,943,8229.24,approved,
ASPCONLED00000826,2025-01-29,ASPCON001778,ASPDLR000968,complaint assist,-225,77785.67,manual,bill image unclear
ASPCONLED00000827,2024-09-20,ASPCON001531,ASPDLR000249,bill upload,2332,55661.14,approved,site closed
ASPCONLED00000828,2025-07-29,ASPCON002291,ASPDLR000561,training,2113,77280.65,rejected,bill image unclear
ASPCONLED00000829,2026-02-04,ASPCON004910,ASPDLR000441,training,464,38914.72,rejected,bill image unclear
ASPCONLED00000830,2025-08-11,ASPCON000969,ASPDLR000621,complaint assist,79,7704.16,rejected,bill image unclear
ASPCONLED00000831,2025-03-02,ASPCON002622,ASPDLR000048,bill upload,1733,65740.53,approved,
ASPCONLED00000832,2024-07-16,ASPCON004604,ASPDLR000557,points redemption,1285,64938.14,approved,dealer mismatch
ASPCONLED00000833,15/02/2025,ASPCON001391,ASPDLR000340,bill upload,2067,33931.61,rejected,site closed
ASPCONLED00000834,2024-09-07,ASPCON000281,ASPDLR000997,complaint assist,2350,72524.42,manual,site closed
ASPCONLED00000835,2026-02-09,ASPCON002608,ASPDLR000780,points redemption,322,70425.19,approved,redeemed gift
ASPCONLED00000836,27/12/2024,ASPCON001137,ASPDLR000505,complaint assist,1149,50912.69,rejected,
ASPCONLED00000837,2025-12-25,ASPCON001006,ASPDLR000197,training,1390,68474.64,manual,site closed
ASPCONLED00000838,2025-07-03,ASPCON002861,ASPDLR000934,bill upload,1663,64582.30,duplicate,redeemed gift
ASPCONLED00000839,2026-02-14,ASPCON001184,ASPDLR000225,training,1294,84339.05,duplicate,site closed
ASPCONLED00000840,2025-08-25,ASPCON004920,ASPDLR000878,training,62,81289.81,pending,redeemed gift
ASPCONLED00000841,24-Nov-25,ASPCON003461,ASPDLR000838,complaint assist,2061,27622.36,duplicate,bill image unclear
ASPCONLED00000842,2025-11-27,ASPCON003446,ASPDLR000708,complaint assist,2091,83074.49,manual,bill image unclear
ASPCONLED00000843,2025-09-24,ASPCON004401,ASPDLR000022,site lead,572,414.62,manual,bill image unclear
ASPCONLED00000844,21/01/2026,ASPCON002106,ASPDLR000760,bill upload,1694,6475.69,approved,bill image unclear
ASPCONLED00000845,27/04/2024,ASPCON000409,ASPDLR000257,site lead,1148,4674.72,manual,redeemed gift
ASPCONLED00000846,2025-12-30,ASPCON000915,ASPDLR000974,complaint assist,2120,80444.16,pending,site closed
ASPCONLED00000847,2025-10-23,ASPCON002166,ASPDLR000606,points redemption,1908,38494.02,rejected,bill image unclear
ASPCONLED00000848,23/07/2024,ASPCON004527,ASPDLR000731,site lead,-470,87678.61,rejected,bill image unclear
ASPCONLED00000849,2025-06-05,ASPCON001438,ASPDLR000803,points redemption,2288,27166.39,rejected,redeemed gift
ASPCONLED00000850,2025-02-07,ASPCON002190,ASPDLR000119,bill upload,1105,48174.48,duplicate,dealer mismatch
ASPCONLED00000851,2025-05-11,ASPCON000473,ASPDLR000395,training,2308,86681.32,manual,site closed
ASPCONLED00000852,2025-10-28,ASPCON002252,ASPDLR000614,site lead,370,29191.58,approved,redeemed gift
ASPCONLED00000853,2025-09-12,ASPCON001531,ASPDLR000249,site lead,2411,23360.04,approved,redeemed gift
ASPCONLED00000854,2024-08-09,ASPCON003451,ASPDLR000268,training,-291,80096.68,approved,dealer mismatch
ASPCONLED00000855,2024-10-30,ASPCON003677,ASPDLR000214,points redemption,386,68354.53,rejected,site closed
ASPCONLED00000856,2024-04-24,ASPCON001749,ASPDLR000375,points redemption,962,61409.56,rejected,bill image unclear
ASPCONLED00000857,2025-11-20,ASPCON004013,ASPDLR000408,bill upload,539,47439.21,duplicate,
ASPCONLED00000858,2025-11-15,ASPCON003059,ASPDLR000486,bill upload,-112,28302.62,pending,bill image unclear
ASPCONLED00000859,2026-01-05,ASPCON004977,ASPDLR000251,complaint assist,1267,16769.34,approved,
ASPCONLED00000860,2025-05-12,ASPCON004363,ASPDLR000320,training,1117,51855.12,approved,dealer mismatch
ASPCONLED00000861,2025-07-11,ASPCON000864,ASPDLR000686,complaint assist,2178,75659.69,approved,redeemed gift
ASPCONLED00000862,2025-03-31,ASPCON003320,ASPDLR000481,site lead,249,47170.10,duplicate,bill image unclear
ASPCONLED00000863,2024-07-15,ASPCON003163,ASPDLR000434,site lead,1617,31777.63,approved,dealer mismatch
ASPCONLED00000864,2024-04-21,ASPCON004676,ASPDLR000538,site lead,272,24121.52,approved,bill image unclear
ASPCONLED00000865,2025-08-25,ASPCON004006,ASPDLR000880,training,130,65698.96,pending,bill image unclear
ASPCONLED00000866,26-Jul-24,ASPCON002755,ASPDLR000187,points redemption,2061,53427.80,duplicate,bill image unclear
ASPCONLED00000867,02/24/2025,ASPCON003401,ASPDLR000942,points redemption,672,40717.12,approved,redeemed gift
ASPCONLED00000868,2025-08-24,ASPCON001887,ASPDLR000027,bill upload,1929,38095.27,manual,site closed
ASPCONLED00000869,2026-02-21,ASPCON001495,ASPDLR000873,points redemption,-428,52454.82,pending,redeemed gift
ASPCONLED00000870,2024-05-14,ASPCON004935,ASPDLR000243,points redemption,2191,2592.78,approved,bill image unclear
ASPCONLED00000871,2024-07-06,ASPCON002393,ASPDLR000280,training,1601,38509.11,approved,
ASPCONLED00000872,2024-11-06,ASPCON002193,ASPDLR000458,site lead,-480,34225.03,approved,redeemed gift
ASPCONLED00000873,18/08/2024,ASPCON001791,ASPDLR000808,points redemption,882,3066.21,manual,redeemed gift
ASPCONLED00000874,2024-05-13,ASPCON000895,ASPDLR000478,points redemption,1302,57172.23,duplicate,dealer mismatch
ASPCONLED00000875,2026-03-24,ASPCON004038,ASPDLR000782,training,376,85938.15,pending,dealer mismatch
ASPCONLED00000876,06/25/2025,ASPCON002746,ASPDLR000220,bill upload,-407,25586.91,duplicate,dealer mismatch
ASPCONLED00000877,2024-10-24,ASPCON002846,ASPDLR000469,complaint assist,1184,82793.18,pending,site closed
ASPCONLED00000878,2025-01-03,ASPCON001332,ASPDLR000722,complaint assist,57,48934.20,approved,site closed
ASPCONLED00000879,2025-04-29,ASPCON003566,ASPDLR000140,points redemption,-165,20855.93,pending,dealer mismatch
ASPCONLED00000880,2025-05-14,ASPCON004091,ASPDLR000907,complaint assist,578,21927.07,rejected,dealer mismatch
ASPCONLED00000881,2025-05-30,ASPCON002430,ASPDLR000307,training,457,65133.86,approved,dealer mismatch
ASPCONLED00000882,2026-03-14,ASPCON004138,ASPDLR000875,points redemption,-372,11269.50,rejected,
ASPCONLED00000883,2025-09-12,ASPCON002926,ASPDLR000293,complaint assist,1935,1979.36,manual,site closed
ASPCONLED00000884,2024-11-20,ASPCON001716,ASPDLR000500,site lead,-99,33052.49,rejected,bill image unclear
ASPCONLED00000885,2025-04-13,ASPCON002222,ASPDLR000782,training,1827,83259.62,approved,dealer mismatch
ASPCONLED00000886,31/05/2024,ASPCON002368,ASPDLR000656,complaint assist,1190,69664.72,approved,redeemed gift
ASPCONLED00000887,2025-01-14,ASPCON003969,ASPDLR000257,training,1030,86220.08,manual,
ASPCONLED00000888,2024-12-11,ASPCON001682,ASPDLR000685,bill upload,1700,34069.67,pending,
