watch_id,customer_id,customer_name,added_by,added_date,watch_reason,last_known_action,manager_confidence
CEAWL00253,CEASUB000212,Vijaya Arun Sales,RSM,2025-11-09,seasonal crop miss,waiting for payment,unknown
CEAWL00254,CEASUB003618,New Sanjay Services,RSM,2026-01-05,owner dispute,waiting for payment,high
CEAWL00255,CEASUB003041,New Naveen Paints,RSM,2026-02-10,payment delay,credit call done,medium
CEAWL00256,CEASUB001229,Mahalakshmi Manoj Paints,Service,2026-02-20,service complaint,credit call done,unknown
CEAWL00257,CEASUB002640,Kaveri Prakash Distributors,Service,2025-12-25,competitor offer,credit call done,low
CEAWL00258,CEASUB000251,National Deepak Sales,Credit,26/08/2025,closed counter,field visit planned,medium
CEAWL00259,CEASUB003581,Sri Karthik Chemicals,Zonal office,2025-09-18,service complaint,new owner to verify,high
CEAWL00260,CEASUB003283,Sree Venkatesh Sales,Service,2025-07-12,orders down,field visit planned,unknown
CEAWL00261,CEASUB002205,Sree Priya Tyres,Zonal office,2026-02-14,service complaint,waiting for payment,unknown
CEAWL00262,CEASUB003194,Metro Venkatesh Tyres,Zonal office,2025-07-16,competitor offer,credit call done,high
CEAWL00263,CEASUB002501,Lucky Prakash Sales,Service,2026-02-13,payment delay,new owner to verify,low
CEAWL00264,CEASUB000678,City Lakshmi Enterprises,RSM,2026-03-01,service complaint,field visit planned,high
CEAWL00265,CEASUB000474,Modern Sowmya Tyres,RSM,2025-10-31,service complaint,scheme support requested,unknown
CEAWL00266,CEASUB001152,METRO RAFIQ MART,ASM,2026-02-08,closed counter,waiting for payment,high
CEAWL00267,CEADLR000040,Shree Bala Agro,Zonal office,03/02/2026,payment delay,new owner to verify,high
CEAWL00268,CEASUB001370,Sree Venkatesh Tyres,Service,10/31/2025,payment delay,field visit planned,medium
CEAWL00269,CEASUB002897,Prime Yusuf Associates,ASM,2025-10-27,closed counter,new owner to verify,high
CEAWL00270,CEASUB000870,Kaveri Revathi Tyres,Distributor,2026-02-28,orders down,field visit planned,low
CEAWL00271,CEADLR000287,Metro Karthik Mart,Zonal office,2026-03-12,payment delay,lost to competitor,low
CEAWL00272,CEADLR000140,Prime Chandra Tyres,Distributor,2025-06-07,competitor offer,waiting for payment,low
CEAWL00273,CEASUB001534,Murugan Irfan Stores,Distributor,2025-07-05,closed counter,waiting for payment,medium
CEAWL00274,CEADLR000385,Metro Geetha Depot,ASM,2025-09-23,payment delay,new owner to verify,low
CEAWL00275,CEASUB001032,Sri Chandra Tyres,RSM,2025-10-12,service complaint,lost to competitor,unknown
CEAWL00276,CEASUB003905,United Geetha Tyres,Zonal office,2026-01-27,scheme claim pending,field visit planned,high
CEAWL00277,CEASUB000963,Murugan Kavya Tyres,ASM,2025-07-16,competitor offer,new owner to verify,unknown
CEAWL00278,CEASUB002986,United Jagan Tyres,Distributor,2026-03-14,scheme claim pending,field visit planned,medium
CEAWL00279,CEASUB003970,Ganesh Revathi Tyres,RSM,2025-09-24,orders down,waiting for payment,high
CEAWL00280,CEASUB002650,Metro Sanjay Fertilisers,Service,2025-11-05,closed counter,scheme support requested,unknown
CEAWL00281,CEASUB003296,National Meena Sales,Zonal office,2026-03-23,seasonal crop miss,lost to competitor,high
CEAWL00282,CEASUB000222,Royal Lokesh Paints,Distributor,2025-12-09,competitor offer,credit call done,high
CEAWL00283,CEASUB002602,Kaveri Venkatesh Tyres,RSM,30-Dec-25,service complaint,lost to competitor,low
CEAWL00284,CEADLR000466,National Revathi Tyres,Credit,2025-09-25,orders down,waiting for payment,medium
CEAWL00285,CEASUB000061,SRI GEETHA TYRES,ASM,01/15/2026,owner dispute,field visit planned,unknown
CEAWL00286,CEASUB002119,National Senthil Tyres,Distributor,2025-12-05,orders down,waiting for payment,unknown
CEAWL00287,CEASUB001054,United Sanjay Depot,Service,2025-10-23,service complaint,waiting for payment,low
CEAWL00288,CEASUB002759,Murugan Venkatesh Tyres,Service,2025-08-29,payment delay,waiting for payment,medium
CEAWL00289,CEASUB002308,Mahalakshmi Deepak Tyres,Service,2025-09-22,seasonal crop miss,scheme support requested,low
CEAWL00290,CEASUB003714,Balaji Anand Tyres,Credit,2025-06-17,orders down,field visit planned,low
CEAWL00291,CEASUB001091,City Priya Agencies,Zonal office,2025-09-23,payment delay,lost to competitor,unknown
CEAWL00292,CEADLR000423,Lucky Farida Tyres,Credit,2025-11-24,service complaint,field visit planned,low
CEAWL00293,CEASUB002399,Vijaya Meena Tyres,ASM,06-Feb-26,orders down,scheme support requested,unknown
CEAWL00294,CEASUB003918,United Meena Tyres,Service,01/24/2026,payment delay,lost to competitor,unknown
CEAWL00295,CEASUB000907,Modern Rafiq Hardware,RSM,28/12/2025,competitor offer,waiting for payment,high
CEAWL00296,CEASUB002096,Kaveri Manoj Agencies,Distributor,07/01/2026,seasonal crop miss,scheme support requested,high
CEAWL00297,CEASUB000682,Kaveri Kavya Corporation Main,Credit,01/20/2026,seasonal crop miss,credit call done,low
CEAWL00298,CEASUB003473,Star Hari Hardware,Zonal office,2025-10-23,seasonal crop miss,waiting for payment,unknown
CEAWL00299,CEASUB002496,City Anand Tyres,Zonal office,2025-11-29,competitor offer,lost to competitor,high
CEAWL00300,CEASUB004421,New Meena Paints,Credit,11/07/2025,payment delay,new owner to verify,medium
CEAWL00301,CEASUB003459,Metro Manoj Tyres & Co,Service,2025-10-07,seasonal crop miss,waiting for payment,unknown
CEAWL00302,CEASUB002988,City Naveen Chemicals,Credit,01-Jan-26,payment delay,field visit planned,unknown
CEAWL00303,CEASUB000625,City Lakshmi Distributors,ASM,2026-03-25,scheme claim pending,scheme support requested,high
CEAWL00304,CEASUB003132,Ganesh Jagan Associates,Credit,04/03/2026,scheme claim pending,new owner to verify,high
CEAWL00305,CEASUB001257,New Jagan Tyres,RSM,2025-09-09,scheme claim pending,waiting for payment,low
CEAWL00306,CEASUB001147,National Prakash Associates,Zonal office,2025-08-31,payment delay,credit call done,low
CEAWL00307,CEASUB002502,Shree Meena Tyres,RSM,04-Sep-25,competitor offer,credit call done,unknown
CEAWL00308,CEASUB001780,Prime Arun Enterprises,Distributor,2025-07-21,service complaint,lost to competitor,high
CEAWL00309,CEASUB002971,Sree Lakshmi Tyres,Zonal office,2025-07-07,service complaint,lost to competitor,low
CEAWL00310,CEASUB003316,Kaveri Sanjay Tyres,Service,07/03/2026,payment delay,field visit planned,low
CEAWL00311,CEASUB003274,Mahalakshmi Lokesh Chemicals,Service,2026-02-28,seasonal crop miss,lost to competitor,low
CEAWL00312,CEASUB003039,United Lakshmi Tyres,ASM,2026-01-17,payment delay,field visit planned,low
CEAWL00313,CEASUB002587,Royal Lokesh Tyres,Credit,2025-08-23,closed counter,field visit planned,medium
CEAWL00314,CEASUB000574,Balaji Lakshmi Tyres,ASM,24/06/2025,payment delay,scheme support requested,low
CEAWL00315,CEASUB001330,City Arun Tyres,Zonal office,01-Jan-26,scheme claim pending,credit call done,low
CEAWL00316,CEASUB003739,Lucky Lokesh Depot,RSM,2025-07-06,scheme claim pending,waiting for payment,high
CEAWL00317,CEASUB002786,City Hari Tyres,RSM,27-Sep-25,closed counter,waiting for payment,low
CEAWL00318,CEASUB002097,Murugan Hari Agro,Zonal office,2026-03-15,payment delay,field visit planned,high
CEAWL00319,CEASUB000454,United Sowmya Depot,Zonal office,2025-06-18,scheme claim pending,lost to competitor,unknown
CEAWL00320,CEASUB003501,Royal Karthik Mart,RSM,2026-01-06,service complaint,credit call done,high
CEAWL00321,CEASUB002711,City Naveen Agencies,RSM,15/12/2025,payment delay,lost to competitor,low
CEAWL00322,CEASUB003099,Kaveri Karthik Fertilisers,RSM,2025-10-18,closed counter,scheme support requested,high
CEAWL00323,CEASUB003150,GANESH MANOJ CORPORATION,Distributor,2025-07-27,seasonal crop miss,new owner to verify,medium
CEAWL00324,CEASUB004018,Sri Sowmya Stores,RSM,2025-08-08,orders down,scheme support requested,low
CEAWL00325,CEASUB000541,New Lakshmi Fertilisers,Credit,2026-03-28,closed counter,scheme support requested,medium
CEAWL00326,CEASUB000394,New Geetha Depot,Service,2025-12-22,payment delay,scheme support requested,low
CEAWL00327,CEASUB003163,Star Kavya Tyres,Distributor,2025-11-24,seasonal crop miss,new owner to verify,medium
CEAWL00328,CEASUB004467,Royal Sowmya Hardware,Credit,2025-11-09,owner dispute,credit call done,medium
CEAWL00329,CEASUB000540,National Chandra Tyres,Distributor,2025-06-07,service complaint,credit call done,medium
CEAWL00330,CEASUB001764,Royal Suresh Tyres,Distributor,2025-10-05,orders down,field visit planned,high
CEAWL00331,CEASUB000483,Mahalakshmi Farida Chemicals,Zonal office,2025-07-05,service complaint,credit call done,medium
CEAWL00332,CEASUB000195,Mahalakshmi Farida Stores Main,Service,22/12/2025,seasonal crop miss,lost to competitor,unknown
CEAWL00333,CEASUB001975,Murugan Venkatesh Enterprises,Service,02/13/2026,seasonal crop miss,lost to competitor,low
CEAWL00334,CEASUB003729,Prime Ganesh Services,Distributor,2025-07-20,seasonal crop miss,waiting for payment,unknown
CEAWL00335,CEASUB001904,Kaveri Arun Paints,Credit,2025-09-04,service complaint,field visit planned,low
CEAWL00336,CEASUB000606,Shri Meena Enterprises,Zonal office,2025-11-21,closed counter,new owner to verify,medium
CEAWL00337,CEASUB003033,Murugan Naveen Tyres,ASM,2025-10-04,closed counter,field visit planned,unknown
CEAWL00338,CEASUB003378,Ganesh Lokesh Enterprises,Distributor,2025-11-25,service complaint,scheme support requested,unknown
CEAWL00339,CEADLR000061,Kaveri Farida Tyres,ASM,2025-08-28,scheme claim pending,waiting for payment,high
CEAWL00340,CEASUB000099,Sree Revathi Tyres,RSM,2025-12-24,owner dispute,new owner to verify,low
CEAWL00341,CEASUB000643,Modern Sowmya Sales,Zonal office,2025-08-18,scheme claim pending,waiting for payment,low
CEAWL00342,CEASUB002466,Metro Bala Tyres,ASM,10/18/2025,competitor offer,scheme support requested,high
CEAWL00343,CEASUB003323,Kaveri Rafiq Distributors,ASM,2026-01-23,owner dispute,waiting for payment,high
CEAWL00344,CEASUB004290,Prime Rafiq Tyres,Credit,2025-08-14,competitor offer,credit call done,low
CEAWL00345,CEASUB000831,United Sanjay Chemicals,ASM,2025-12-09,owner dispute,scheme support requested,high
CEAWL00346,CEASUB001483,Murugan Chandra Tyres,Distributor,2025-06-02,seasonal crop miss,field visit planned,unknown
CEAWL00347,CEASUB002738,Mahalakshmi Anand Distributors,Zonal office,2025-06-05,seasonal crop miss,field visit planned,low
CEAWL00348,CEASUB000686,New Sowmya Tyres,Distributor,2026-01-09,orders down,credit call done,unknown
CEAWL00349,CEADLR000320,Murugan Sowmya Hardware,Zonal office,08/06/2025,payment delay,scheme support requested,unknown
CEAWL00350,CEASUB000083,Modern Venkatesh Sales,Zonal office,2025-09-14,seasonal crop miss,field visit planned,low
CEAWL00351,CEADLR000146,Star Ganesh Chemicals,ASM,2025-07-26,payment delay,field visit planned,low
CEAWL00352,CEASUB002346,United Manoj Tyres,Service,2026-01-25,payment delay,scheme support requested,unknown
CEAWL00353,CEASUB002237,Kaveri Manoj Tyres,Service,2025-09-13,service complaint,waiting for payment,high
CEAWL00354,CEASUB001718,Sri Prakash Fertilisers,Zonal office,03/28/2026,competitor offer,credit call done,low
CEAWL00355,CEASUB000915,Lucky Suresh Fertilisers,ASM,2025-10-13,competitor offer,new owner to verify,medium
CEAWL00356,CEASUB001352,Balaji Naveen Distributors,Zonal office,2026-02-24,service complaint,new owner to verify,low
CEAWL00357,CEASUB001093,Star Meena Tyres,Credit,2025-11-06,orders down,new owner to verify,medium
CEAWL00358,CEADLR000570,Prime Meena Tyres,Credit,2025-12-26,service complaint,lost to competitor,unknown
CEAWL00359,CEASUB000770,Sri Ganesh Enterprises,Service,07/12/2025,owner dispute,lost to competitor,low
CEAWL00360,CEASUB000346,Modern Revathi Paints,Zonal office,2025-09-17,service complaint,scheme support requested,unknown
CEAWL00361,CEASUB003072,Vijaya Hari Tyres,Zonal office,2025-10-03,payment delay,credit call done,medium
CEAWL00362,CEASUB003810,Mahalakshmi Arun Paints,Distributor,2026-03-06,payment delay,scheme support requested,medium
CEAWL00363,CEASUB000425,Vijaya Irfan Traders,Distributor,2026-02-18,closed counter,waiting for payment,high
CEAWL00364,CEASUB003243,Royal Ganesh Stores,Distributor,2026-03-22,owner dispute,lost to competitor,medium
CEAWL00365,CEASUB002872,Star Deepak Fertilisers,Service,2025-12-11,orders down,scheme support requested,low
CEAWL00366,CEADLR000450,Kaveri Ganesh Tyres,ASM,2025-11-16,seasonal crop miss,field visit planned,unknown
CEAWL00367,CEASUB000068,United Farida Tyres,Service,2025-09-28,competitor offer,credit call done,unknown
CEAWL00368,CEASUB004044,Star Suresh Tyres,Zonal office,2025-11-08,seasonal crop miss,lost to competitor,unknown
CEAWL00369,CEASUB000028,United Deepak Distributors,Distributor,2026-03-02,scheme claim pending,credit call done,high
CEAWL00370,CEASUB002672,Kaveri Senthil Hardware,RSM,2025-08-13,orders down,scheme support requested,high
CEAWL00371,CEADLR000377,Balaji Sowmya Corporation,Credit,18-Oct-25,seasonal crop miss,new owner to verify,unknown
CEAWL00372,CEADLR000362,Metro Priya Tyres,Distributor,2026-02-20,orders down,new owner to verify,unknown
CEAWL00373,CEADLR000332,Murugan Irfan Tyres,Credit,2026-01-16,seasonal crop miss,scheme support requested,low
CEAWL00374,CEASUB001606,Modern Priya Mart,Service,2026-01-24,orders down,field visit planned,high
CEAWL00375,CEASUB002250,National Anand Tyres & Co,Distributor,2025-09-19,closed counter,new owner to verify,low
CEAWL00376,CEASUB003031,Sree Rafiq Tyres,Zonal office,2025-06-22,scheme claim pending,credit call done,unknown
CEAWL00377,CEASUB003527,SRI Sanjay Tyres,Zonal office,08/21/2025,competitor offer,scheme support requested,unknown
CEAWL00378,CEASUB003789,Shree Deepak Tyres,ASM,2025-11-23,orders down,field visit planned,high
CEAWL00379,CEASUB004199,Mahalakshmi Prakash Tyres,RSM,2025-12-22,scheme claim pending,waiting for payment,low
CEAWL00380,CEASUB004045,New Venkatesh Hardware,ASM,10-Aug-25,closed counter,new owner to verify,high
CEAWL00381,CEASUB004362,ROYAL SURESH FERTILISERS,ASM,15-Aug-25,orders down,credit call done,medium
CEAWL00382,CEASUB002619,Prime Naveen Tyres,Zonal office,2025-11-08,orders down,scheme support requested,unknown
CEAWL00383,CEASUB001604,Mahalakshmi Kavya Stores,Distributor,2025-08-31,payment delay,waiting for payment,low
CEAWL00384,CEASUB004295,Mahalakshmi Lakshmi Tyres,Credit,2025-11-21,seasonal crop miss,waiting for payment,unknown
CEAWL00385,CEADLR000747,Sri Farida Tyres,Zonal office,17/03/2026,seasonal crop miss,scheme support requested,medium
CEAWL00386,CEASUB004145,Prime Irfan Corporation,Distributor,2025-07-24,competitor offer,new owner to verify,high
CEAWL00387,CEASUB002279,Star Ganesh Services,RSM,2025-07-19,scheme claim pending,field visit planned,high
CEAWL00388,CEASUB002059,National Rafiq Agro,Distributor,02/12/2026,payment delay,field visit planned,unknown
CEAWL00389,CEASUB000818,National Prakash Enterprises,RSM,2025-11-27,scheme claim pending,scheme support requested,medium
CEAWL00390,CEASUB004181,Shree Rafiq Sales,Distributor,2025-11-27,competitor offer,field visit planned,high
CEAWL00391,CEASUB003629,City Hari Depot,Distributor,2025-08-06,orders down,credit call done,unknown
CEAWL00392,CEADLR000137,Vijaya Arun Tyres,Credit,03/24/2026,competitor offer,new owner to verify,unknown
CEAWL00393,CEASUB000549,Sri Senthil Associates,Distributor,2025-12-01,owner dispute,scheme support requested,medium
CEAWL00394,CEASUB004078,Metro Arun Traders,Distributor,11/01/2025,orders down,lost to competitor,unknown
CEAWL00395,CEASUB003811,Kaveri Suresh Corporation,ASM,2025-07-17,seasonal crop miss,waiting for payment,high
CEAWL00396,CEASUB001108,Mahalakshmi Lakshmi Tyres,Distributor,28/09/2025,orders down,field visit planned,medium
CEAWL00397,CEASUB003432,Mahalakshmi Senthil Services,ASM,23/07/2025,seasonal crop miss,waiting for payment,unknown
CEAWL00398,CEASUB004407,Kaveri Suresh Chemicals,ASM,2025-09-12,payment delay,new owner to verify,high
CEAWL00399,CEASUB001326,Royal Farida Tyres,ASM,2026-03-15,orders down,waiting for payment,unknown
CEAWL00400,CEASUB003999,Murugan Revathi Tyres,RSM,2025-11-15,competitor offer,lost to competitor,medium
CEAWL00401,CEASUB002656,Prime Arun Paints,ASM,2025-10-21,owner dispute,waiting for payment,high
CEAWL00402,CEASUB001169,Murugan Karthik Tyres,Zonal office,2025-10-26,scheme claim pending,lost to competitor,high
CEAWL00403,CEASUB002263,United Ganesh Tyres,Zonal office,2025-10-25,owner dispute,waiting for payment,unknown
CEAWL00404,CEASUB004054,Prime Irfan Agencies,RSM,05/09/2025,competitor offer,field visit planned,unknown
CEAWL00405,CEASUB000924,GANESH ANAND TYRES,Credit,2026-02-10,orders down,lost to competitor,unknown
CEAWL00406,CEASUB001320,Metro Manoj Agro,ASM,2025-08-06,payment delay,lost to competitor,unknown
CEAWL00407,CEADLR000051,Mahalakshmi Jagan Agencies,Credit,19-Nov-25,owner dispute,lost to competitor,unknown
CEAWL00408,CEASUB003643,Kaveri Geetha Tyres,Credit,2025-11-27,scheme claim pending,scheme support requested,high
CEAWL00409,CEASUB001489,Prime Hari Corporation,Credit,2025-09-22,seasonal crop miss,waiting for payment,unknown
CEAWL00410,CEADLR000669,Modern Farida Associates,RSM,02/09/2025,seasonal crop miss,credit call done,high
CEAWL00411,CEASUB003790,Balaji Hari Tyres,Zonal office,26/11/2025,payment delay,credit call done,low
CEAWL00412,CEASUB000564,New Bala Agro,Distributor,2026-03-14,competitor offer,field visit planned,medium
CEAWL00413,CEASUB003406,Balaji Hari Agro,Service,2026-03-15,orders down,new owner to verify,high
CEAWL00414,CEASUB000774,Royal Venkatesh Agro,RSM,2025-08-27,orders down,new owner to verify,high
CEAWL00415,CEASUB004218,Mahalakshmi Suresh Tyres,RSM,2026-03-24,closed counter,lost to competitor,medium
CEAWL00416,CEASUB003487,Star Anand Chemicals,Credit,2025-07-16,service complaint,scheme support requested,low
CEAWL00417,CEASUB003537,Shree Suresh Tyres,Distributor,2026-02-20,competitor offer,waiting for payment,high
CEAWL00418,CEASUB002058,United Bala Agro Main,RSM,2025-08-17,orders down,credit call done,high
CEAWL00419,CEASUB000801,Vijaya Senthil Agencies Pvt,Distributor,2026-01-18,payment delay,scheme support requested,unknown
CEAWL00420,CEADLR000718,Sri Manoj Chemicals,ASM,2025-12-15,closed counter,new owner to verify,high
CEAWL00421,CEASUB002451,CITY CHANDRA SALES,Zonal office,07/15/2025,payment delay,field visit planned,unknown
CEAWL00422,CEASUB002449,New Priya Associates,Service,2025-11-05,competitor offer,credit call done,high
CEAWL00423,CEASUB002197,Balaji Jagan Depot,Zonal office,04/12/2025,scheme claim pending,credit call done,unknown
CEAWL00424,CEASUB001928,New Karthik Agro,Service,2025-12-29,seasonal crop miss,field visit planned,high
CEAWL00425,CEADLR000442,Vijaya Sanjay Agencies Main,ASM,2026-03-05,owner dispute,lost to competitor,high
CEAWL00426,CEASUB003615,Modern Geetha Tyres,Credit,07/08/2025,scheme claim pending,scheme support requested,low
CEAWL00427,CEASUB000881,Metro Karthik Tyres,Distributor,2025-07-28,owner dispute,waiting for payment,low
CEAWL00428,CEASUB000130,Mahalakshmi Sanjay Stores,Distributor,06-Aug-25,orders down,waiting for payment,medium
CEAWL00429,CEASUB001474,Royal Meena Tyres,Credit,2026-01-20,owner dispute,field visit planned,unknown
CEAWL00430,CEASUB002113,Lucky Manoj Mart,RSM,2025-08-24,payment delay,field visit planned,high
CEAWL00431,CEASUB004414,National Karthik Tyres,Distributor,2026-02-28,scheme claim pending,lost to competitor,high
CEAWL00432,CEADLR000383,New Deepak Depot,Distributor,12/09/2025,owner dispute,scheme support requested,low
CEAWL00433,CEASUB003299,Royal Kavya Services,Credit,2026-02-28,service complaint,waiting for payment,low
CEAWL00434,CEASUB000343,Metro Kavya Stores,ASM,2025-06-19,competitor offer,lost to competitor,unknown
CEAWL00435,CEASUB003681,Vijaya Venkatesh Depot,ASM,2025-07-31,service complaint,field visit planned,medium
CEAWL00436,CEASUB001930,Metro Geetha Agro,Credit,15-Oct-25,closed counter,waiting for payment,medium
CEAWL00437,CEASUB004448,Shree Sanjay Sales,Credit,2025-06-29,orders down,scheme support requested,medium
CEAWL00438,CEASUB004024,VIJAYA JAGAN AGRO,Credit,2025-12-11,orders down,scheme support requested,low
CEAWL00439,CEASUB000229,Sree Irfan Enterprises,Distributor,2025-06-14,payment delay,credit call done,high
CEAWL00440,CEASUB002302,Star Naveen Mart,Zonal office,2025-07-01,closed counter,lost to competitor,high
CEAWL00441,CEASUB001995,Royal Meena Tyres,Service,2025-08-31,closed counter,new owner to verify,high
CEAWL00442,CEASUB001412,Sree Venkatesh Agencies,Zonal office,2025-11-29,closed counter,field visit planned,high
CEAWL00443,CEASUB002911,Sri Venkatesh Mart,Credit,2025-10-28,scheme claim pending,waiting for payment,low
CEAWL00444,CEASUB004301,Sree Naveen Hardware,Distributor,2026-02-26,closed counter,lost to competitor,low
CEAWL00445,CEASUB001044,Modern Naveen Chemicals,Distributor,26/01/2026,orders down,scheme support requested,unknown
CEAWL00446,CEASUB000812,Modern Chandra Mart,ASM,2026-03-14,seasonal crop miss,lost to competitor,low
CEAWL00447,CEASUB003799,Royal Meena Sales,Service,2025-08-11,payment delay,new owner to verify,low
CEAWL00448,CEASUB000090,Sri Irfan Tyres,ASM,2025-06-22,orders down,waiting for payment,medium
CEAWL00449,CEASUB000053,New Priya Tyres,RSM,2025-12-18,orders down,new owner to verify,medium
CEAWL00450,CEASUB002516,Kaveri Kavya Associates,Service,2026-01-29,seasonal crop miss,new owner to verify,medium
CEAWL00451,CEASUB001303,Lucky Deepak Tyres,Zonal office,01-Feb-26,owner dispute,credit call done,medium
CEAWL00452,CEASUB003125,Murugan Sanjay Tyres,Zonal office,2025-09-26,service complaint,credit call done,medium
CEAWL00453,CEASUB003620,MODERN RAFIQ CHEMICALS,Zonal office,2025-10-23,closed counter,waiting for payment,medium
CEAWL00454,CEASUB003032,Balaji Arun Tyres,Service,14/02/2026,orders down,waiting for payment,medium
CEAWL00455,CEASUB002246,Balaji Naveen Stores,Service,2025-07-31,payment delay,field visit planned,low
CEAWL00456,CEADLR000215,Sree Farida Associates,Service,2025-09-02,competitor offer,credit call done,low
CEAWL00457,CEASUB001738,Balaji Deepak Chemicals,Service,2025-09-28,orders down,new owner to verify,medium
CEAWL00458,CEASUB001589,Vijaya Senthil Paints,Zonal office,2025-10-29,competitor offer,credit call done,low
CEAWL00459,CEADLR000587,Balaji Karthik Tyres,Distributor,2025-10-21,closed counter,new owner to verify,low
CEAWL00460,CEASUB002696,City Suresh Tyres,ASM,2025-12-31,service complaint,credit call done,high
CEAWL00461,CEASUB004060,Metro Irfan Services,Service,23/03/2026,orders down,scheme support requested,high
CEAWL00462,CEASUB002758,Metro Suresh Associates,RSM,2026-02-28,closed counter,new owner to verify,low
CEAWL00463,CEASUB002932,Modern Naveen Tyres,RSM,2026-01-07,seasonal crop miss,field visit planned,low
CEAWL00464,CEASUB000019,Balaji Arun Agencies,Credit,2026-02-20,service complaint,field visit planned,high
CEAWL00465,CEASUB003656,Sree Senthil Enterprises,Zonal office,2025-10-18,service complaint,lost to competitor,low
CEAWL00466,CEASUB002122,Royal Sanjay Depot,RSM,2025-10-11,closed counter,credit call done,unknown
CEAWL00467,CEASUB000666,Murugan Arun Fertilisers,Credit,06/07/2025,seasonal crop miss,credit call done,high
CEAWL00468,CEASUB001583,Vijaya Lakshmi Agencies,RSM,2025-12-24,competitor offer,field visit planned,high
CEAWL00469,CEASUB000110,United Venkatesh Corporation,Credit,2025-11-21,competitor offer,field visit planned,low
CEAWL00470,CEASUB000777,Ganesh Revathi Services,RSM,2025-06-13,seasonal crop miss,credit call done,low
CEAWL00471,CEASUB000758,Prime Arun Tyres,Distributor,2026-01-06,scheme claim pending,new owner to verify,medium
CEAWL00472,CEASUB002658,Star Sanjay Sales,Service,2026-01-07,seasonal crop miss,field visit planned,unknown
CEAWL00473,CEASUB001024,Metro Karthik Chemicals,Zonal office,2026-03-20,owner dispute,lost to competitor,unknown
CEAWL00474,CEASUB004055,Mahalakshmi Suresh Chemicals Main,ASM,2026-01-29,service complaint,waiting for payment,unknown
CEAWL00475,CEASUB003864,New Hari Tyres,RSM,2025-06-04,owner dispute,waiting for payment,medium
CEAWL00476,CEASUB003158,Prime Bala Sales,ASM,2025-06-29,closed counter,field visit planned,high
CEAWL00477,CEASUB000566,Royal Ganesh Tyres,Service,2025-06-23,orders down,lost to competitor,medium
CEAWL00478,CEASUB000763,Modern Yusuf Tyres,ASM,27-Nov-25,payment delay,scheme support requested,high
CEAWL00479,CEASUB004137,Modern Farida Agencies,Service,2025-08-26,closed counter,waiting for payment,medium
CEAWL00480,CEASUB002376,Prime Naveen Enterprises,Distributor,2025-11-02,scheme claim pending,waiting for payment,low
CEAWL00481,CEASUB003796,MAHALAKSHMI SURESH SALES,Zonal office,24/11/2025,scheme claim pending,new owner to verify,unknown
CEAWL00482,CEASUB003671,Sri Deepak Stores,ASM,26/11/2025,seasonal crop miss,waiting for payment,unknown
CEAWL00483,CEASUB002856,Balaji Meena Tyres,Distributor,2025-09-03,seasonal crop miss,credit call done,medium
CEAWL00484,CEASUB002621,Prime Jagan Hardware,Zonal office,2025-07-14,seasonal crop miss,new owner to verify,high
CEAWL00485,CEASUB000472,City Arun Tyres,Credit,2026-02-19,closed counter,scheme support requested,low
CEAWL00486,CEASUB003443,Mahalakshmi Chandra Associates,ASM,2025-11-26,payment delay,new owner to verify,low
CEAWL00487,CEASUB004347,PRIME GEETHA SERVICES,Service,2025-08-28,seasonal crop miss,field visit planned,low
CEAWL00488,CEASUB001983,New Manoj Distributors,Credit,2026-02-28,service complaint,new owner to verify,low
CEAWL00489,CEASUB000428,Balaji Revathi Stores,Zonal office,2025-06-30,owner dispute,field visit planned,medium
CEAWL00490,CEADLR000719,Sree Priya Sales,RSM,2025-11-15,orders down,waiting for payment,low
CEAWL00491,CEASUB001650,Lucky Venkatesh Traders,Zonal office,2025-11-26,scheme claim pending,scheme support requested,medium
CEAWL00492,CEASUB004478,Shree Ganesh Agencies,RSM,2025-07-29,scheme claim pending,field visit planned,unknown
CEAWL00493,CEASUB000602,Royal Deepak Enterprises,Zonal office,2025-06-02,closed counter,lost to competitor,low
CEAWL00494,CEASUB004283,Ganesh Arun Agro,Distributor,02/04/2026,owner dispute,lost to competitor,high
CEAWL00495,CEASUB002608,National Lokesh Chemicals,ASM,2025-06-14,owner dispute,field visit planned,low
CEAWL00496,CEASUB003803,Lucky Arun Sales,Zonal office,01/29/2026,scheme claim pending,waiting for payment,low
CEAWL00497,CEASUB000183,Modern Kavya Mart,Zonal office,2025-12-25,seasonal crop miss,field visit planned,unknown
CEAWL00498,CEASUB003370,City Ganesh Corporation,Credit,2026-01-08,owner dispute,field visit planned,low
CEAWL00499,CEASUB004363,National Venkatesh Services,Distributor,2025-11-06,service complaint,new owner to verify,unknown
CEAWL00500,CEADLR000050,Star Arun Stores,RSM,2025-07-18,orders down,lost to competitor,low
CEAWL00501,CEASUB004427,CITY PRIYA SALES,Zonal office,2026-02-04,closed counter,lost to competitor,medium
CEAWL00502,CEASUB003229,Murugan Priya Depot,RSM,02/10/2026,closed counter,field visit planned,low
CEAWL00503,CEASUB002624,Star Venkatesh Tyres,Distributor,2026-03-28,owner dispute,scheme support requested,unknown
CEAWL00504,CEASUB001066,Balaji Ganesh Agencies,Credit,2025-10-23,scheme claim pending,waiting for payment,low
CEAWL00505,CEADLR000179,Balaji Senthil Tyres,RSM,2025-08-25,orders down,waiting for payment,unknown
