service_id,service_date,fleet_id,mapped_dealer_id,vehicle_no,service_type,tyres_checked,issue_count,recommended_action,note
CEAFS00002078,2025-04-05,CEAFLEET00101,CEADLR000488,AP62EF3140,pressure audit,31,7,replace,competitor tyres fitted
CEAFS00002079,04/09/2024,CEAFLEET00098,CEADLR000107,TN88JK8736,inspection,6,3,claim,driver unavailable
CEAFS00002080,2025-10-12,CEAFLEET00052,CEADLR000577,TS17CD5105,rotation,15,1,none,competitor tyres fitted
CEAFS00002081,2024-08-10,CEAFLEET00232,CEADLR000591,KL66EF2464,rotation,10,4,replace,
CEAFS00002082,28/09/2025,CEAFLEET00073,CEADLR000580,TS42GH5111,claim check,31,4,claim,driver unavailable
CEAFS00002083,2025-12-14,CEAFLEET00102,CEADLR000447,AP58EF2409,pressure audit,16,2,alignment,high wear
CEAFS00002084,2024-10-13,CEAFLEET00161,CEADLR000010,AP70JK9907,alignment,11,6,alignment,
CEAFS00002085,2024-06-16,CEAFLEET00135,CEADLR000692,KA57EF6648,rotation,26,5,replace,driver unavailable
CEAFS00002086,2025-05-27,CEAFLEET00058,CEADLR000513,KL55GH6757,rotation,8,1,rotate,competitor tyres fitted
CEAFS00002087,2025-08-25,CEAFLEET00110,CEADLR000222,KL37JK6861,claim check,9,6,rotate,competitor tyres fitted
CEAFS00002088,2025-12-27,CEAFLEET00119,CEADLR000426,KL36GH1012,alignment,13,2,claim,
CEAFS00002089,2024-10-04,CEAFLEET00155,CEADLR000479,TS33AB3874,rotation,12,0,rotate,fleet price issue
CEAFS00002090,2024-07-27,CEAFLEET00065,CEADLR000361,KL43GH2064,inspection,21,7,claim,competitor tyres fitted
CEAFS00002091,2025-08-30,CEAFLEET00024,CEADLR000348,KA18GH5893,inspection,21,1,alignment,high wear
CEAFS00002092,2025-04-16,CEAFLEET00205,CEADLR000055,AP25GH7676,pressure audit,20,2,none,driver unavailable
CEAFS00002093,2025-07-31,CEAFLEET00020,CEADLR000440,TS48AB8649,claim check,18,6,rotate,high wear
CEAFS00002094,12/08/2025,CEAFLEET00079,CEADLR000264,TS40JK2112,rotation,16,7,none,high wear
CEAFS00002095,16/06/2025,CEAFLEET00121,CEADLR000662,TS66JK8781,alignment,8,7,alignment,competitor tyres fitted
CEAFS00002096,2024-08-24,CEAFLEET00039,CEADLR000074,KA45EF5430,pressure audit,21,8,alignment,competitor tyres fitted
CEAFS00002097,01/30/2025,CEAFLEET00184,CEADLR000015,TS87JK1305,fitment,25,5,replace,
CEAFS00002098,2025-03-26,CEAFLEET00319,CEADLR000451,KL49CD1828,pressure audit,12,0,none,
CEAFS00002099,2024-04-14,CEAFLEET00234,CEADLR000308,TS32JK6283,fitment,12,8,claim,
CEAFS00002100,2025-03-07,CEAFLEET00028,CEADLR000139,TN30JK3948,pressure audit,27,1,claim,competitor tyres fitted
CEAFS00002101,27/02/2025,CEAFLEET00127,CEADLR000162,AP34AB1269,fitment,21,6,claim,competitor tyres fitted
CEAFS00002102,2025-04-02,CEAFLEET00316,CEADLR000478,AP74JK2784,rotation,3,8,pressure training,high wear
CEAFS00002103,2024-04-07,CEAFLEET00236,CEADLR000220,KA94CD7972,inspection,6,4,replace,fleet price issue
CEAFS00002104,2024-09-17,CEAFLEET00054,CEADLR000580,TS36EF4285,inspection,3,7,alignment,high wear
CEAFS00002105,2024-11-22,CEAFLEET00271,CEADLR000593,KA78AB8955,alignment,16,7,replace,
CEAFS00002106,2024-10-17,CEAFLEET00201,CEADLR000372,TN15EF9164,alignment,32,3,rotate,competitor tyres fitted
CEAFS00002107,06/04/2025,CEAFLEET00259,CEADLR000592,AP24CD6040,pressure audit,10,6,claim,high wear
CEAFS00002108,2025-01-28,CEAFLEET00253,CEADLR000357,KL77EF2369,alignment,29,4,rotate,driver unavailable
CEAFS00002109,2024-11-10,CEAFLEET00101,CEADLR000488,AP50CD7977,inspection,27,0,rotate,competitor tyres fitted
CEAFS00002110,2024-09-10,CEAFLEET00196,CEADLR000646,TN27JK4607,fitment,11,3,rotate,
CEAFS00002111,2024-12-19,CEAFLEET00071,CEADLR000602,AP32EF4814,pressure audit,30,7,pressure training,competitor tyres fitted
CEAFS00002112,2025-11-14,CEAFLEET00267,CEADLR000508,TS55CD7915,fitment,28,8,rotate,competitor tyres fitted
CEAFS00002113,2025-04-30,CEAFLEET00055,CEADLR000621,KA55AB5519,claim check,13,8,claim,high wear
CEAFS00002114,2025-11-12,CEAFLEET00234,CEADLR000308,KL87AB5226,inspection,12,4,rotate,competitor tyres fitted
CEAFS00002115,2025-12-01,CEAFLEET00066,CEADLR000342,TN36JK1792,fitment,9,6,replace,
CEAFS00002116,2025-11-24,CEAFLEET00225,CEADLR000705,TS53GH7982,inspection,9,0,pressure training,competitor tyres fitted
CEAFS00002117,2026-03-04,CEAFLEET00129,CEADLR000749,KL79CD8032,inspection,22,4,rotate,competitor tyres fitted
CEAFS00002118,2025-01-09,CEAFLEET00320,CEADLR000579,KL92CD3205,alignment,4,3,claim,high wear
CEAFS00002119,2024-11-29,CEAFLEET00269,CEADLR000434,KA80GH7358,rotation,23,1,rotate,fleet price issue
CEAFS00002120,10/22/2025,CEAFLEET00173,CEADLR000108,KA33CD2584,fitment,9,4,claim,driver unavailable
CEAFS00002121,2025-12-15,CEAFLEET00315,CEADLR000461,TS22GH2756,fitment,23,6,pressure training,driver unavailable
CEAFS00002122,2025-02-20,CEAFLEET00026,CEADLR000700,TN80AB6736,fitment,17,3,replace,competitor tyres fitted
CEAFS00002123,2025-07-05,CEAFLEET00086,CEADLR000511,AP75GH1425,inspection,20,1,none,
CEAFS00002124,2025-02-28,CEAFLEET00141,CEADLR000484,AP14GH3353,alignment,31,2,pressure training,fleet price issue
CEAFS00002125,09/01/2026,CEAFLEET00226,CEADLR000332,TS44GH2881,rotation,23,1,rotate,fleet price issue
CEAFS00002126,2025-05-23,CEAFLEET00316,CEADLR000478,KL58AB7170,alignment,32,1,pressure training,driver unavailable
CEAFS00002127,2024-12-31,CEAFLEET00217,CEADLR000263,AP39GH7428,alignment,2,4,claim,driver unavailable
CEAFS00002128,2024-12-20,CEAFLEET00278,CEADLR000549,AP37JK8711,claim check,9,4,none,
CEAFS00002129,2025-04-13,CEAFLEET00206,CEADLR000678,KA38AB5553,pressure audit,18,5,none,
CEAFS00002130,2024-12-11,CEAFLEET00031,CEADLR000649,KL54JK8454,rotation,28,0,pressure training,fleet price issue
CEAFS00002131,2024-09-25,CEAFLEET00004,CEADLR000059,KA10GH7104,pressure audit,4,7,rotate,driver unavailable
CEAFS00002132,2025-02-02,CEAFLEET00217,CEADLR000263,AP51JK3032,inspection,13,8,claim,
CEAFS00002133,2025-12-11,CEAFLEET00012,CEADLR000038,KA89CD9390,alignment,32,0,pressure training,driver unavailable
CEAFS00002134,2025-02-02,CEAFLEET00089,CEADLR000219,KL50CD1653,pressure audit,22,2,none,driver unavailable
CEAFS00002135,2025-07-27,CEAFLEET00208,CEADLR000689,KL59CD2910,fitment,23,2,replace,competitor tyres fitted
CEAFS00002136,02/01/2026,CEAFLEET00278,CEADLR000549,TS91EF7232,inspection,30,8,claim,competitor tyres fitted
CEAFS00002137,2026-02-16,CEAFLEET00160,CEADLR000210,TS63GH2077,fitment,21,7,claim,
CEAFS00002138,2025-07-21,CEAFLEET00220,CEADLR000516,KL55JK8644,claim check,14,7,claim,high wear
CEAFS00002139,2025-07-20,CEAFLEET00227,CEADLR000189,KL43GH9673,alignment,16,5,replace,competitor tyres fitted
CEAFS00002140,2025-08-08,CEAFLEET00186,CEADLR000413,TS92JK6474,claim check,16,7,none,
CEAFS00002141,2024-11-20,CEAFLEET00083,CEADLR000138,TS45EF9831,rotation,9,4,replace,high wear
CEAFS00002142,2025-09-12,CEAFLEET00265,CEADLR000103,KL11JK2736,pressure audit,18,6,replace,driver unavailable
CEAFS00002143,2025-06-28,CEAFLEET00006,CEADLR000067,TS14GH7370,alignment,30,7,pressure training,fleet price issue
CEAFS00002144,2025-11-04,CEAFLEET00206,CEADLR000678,TN59GH5108,claim check,6,4,alignment,driver unavailable
CEAFS00002145,2025-03-15,CEAFLEET00134,CEADLR000451,AP52GH7544,claim check,8,7,replace,fleet price issue
CEAFS00002146,2025-04-29,CEAFLEET00070,CEADLR000661,KA48GH6401,pressure audit,9,4,none,fleet price issue
CEAFS00002147,09/03/2025,CEAFLEET00038,CEADLR000577,KA72AB8979,alignment,28,6,alignment,competitor tyres fitted
CEAFS00002148,2024-12-18,CEAFLEET00304,CEADLR000723,AP23CD7327,rotation,5,7,claim,
CEAFS00002149,08-Apr-24,CEAFLEET00004,CEADLR000059,AP82GH2685,claim check,13,0,alignment,fleet price issue
CEAFS00002150,2025-12-20,CEAFLEET00011,CEADLR000109,KA88JK2325,alignment,24,1,claim,fleet price issue
CEAFS00002151,2024-07-27,CEAFLEET00087,CEADLR000454,TS72CD5927,claim check,29,1,claim,competitor tyres fitted
CEAFS00002152,18-May-25,CEAFLEET00208,CEADLR000689,AP46EF4759,fitment,30,7,none,high wear
CEAFS00002153,2024-06-16,CEAFLEET00231,CEADLR000078,TN41JK8109,rotation,14,0,claim,high wear
CEAFS00002154,2025-01-01,CEAFLEET00274,CEADLR000701,KL96CD3489,claim check,22,5,alignment,fleet price issue
CEAFS00002155,07/31/2024,CEAFLEET00313,CEADLR000181,AP15GH1841,pressure audit,17,3,rotate,
CEAFS00002156,2026-01-27,CEAFLEET00106,CEADLR000394,KA42JK3524,pressure audit,23,0,replace,
CEAFS00002157,2024-09-03,CEAFLEET00190,CEADLR000355,TS97EF6518,inspection,14,4,replace,fleet price issue
CEAFS00002158,2024-11-02,CEAFLEET00151,CEADLR000622,KL88AB3058,inspection,28,1,none,
CEAFS00002159,2026-01-23,CEAFLEET00227,CEADLR000189,KL38GH8435,claim check,29,2,replace,high wear
CEAFS00002160,2025-09-12,CEAFLEET00187,CEADLR000230,KL42GH7476,claim check,26,2,none,fleet price issue
CEAFS00002161,22/08/2025,CEAFLEET00209,CEADLR000492,KA95EF1155,inspection,3,7,claim,fleet price issue
CEAFS00002162,2026-01-12,CEAFLEET00036,CEADLR000452,TS45JK8478,alignment,27,0,alignment,fleet price issue
CEAFS00002163,12/19/2025,CEAFLEET00194,CEADLR000165,TS40JK7743,rotation,25,6,alignment,
CEAFS00002164,2025-02-06,CEAFLEET00123,CEADLR000331,AP34CD1071,alignment,27,5,pressure training,
CEAFS00002165,27/03/2026,CEAFLEET00106,CEADLR000394,TN44CD5279,pressure audit,28,6,rotate,
CEAFS00002166,2025-09-03,CEAFLEET00286,CEADLR000098,TS17CD1483,pressure audit,9,6,alignment,high wear
CEAFS00002167,12/31/2025,CEAFLEET00086,CEADLR000511,KL99AB3516,pressure audit,22,0,pressure training,competitor tyres fitted
CEAFS00002168,11/07/2025,CEAFLEET00086,CEADLR000511,KA37JK1318,claim check,27,1,rotate,fleet price issue
CEAFS00002169,2024-07-22,CEAFLEET00245,CEADLR000094,KA37AB2508,fitment,19,6,none,
CEAFS00002170,2024-12-23,CEAFLEET00151,CEADLR000622,AP35EF9050,pressure audit,14,6,none,high wear
CEAFS00002171,2024-10-03,CEAFLEET00224,CEADLR000059,TS70JK1617,pressure audit,24,4,replace,fleet price issue
CEAFS00002172,2025-05-29,CEAFLEET00004,CEADLR000059,KL10EF6721,inspection,9,6,pressure training,
CEAFS00002173,2024-06-19,CEAFLEET00152,CEADLR000148,TN95AB3409,claim check,32,6,claim,competitor tyres fitted
CEAFS00002174,04/07/2024,CEAFLEET00160,CEADLR000210,KA97CD9827,alignment,28,7,pressure training,competitor tyres fitted
CEAFS00002175,2025-01-02,CEAFLEET00281,CEADLR000065,KL22JK3984,claim check,7,5,none,competitor tyres fitted
CEAFS00002176,2024-09-24,CEAFLEET00268,CEADLR000427,AP92AB9481,pressure audit,4,1,alignment,competitor tyres fitted
CEAFS00002177,16/12/2025,CEAFLEET00047,CEADLR000524,KL82EF6702,fitment,31,0,none,competitor tyres fitted
CEAFS00002178,2025-10-18,CEAFLEET00152,CEADLR000148,TS62AB4563,pressure audit,12,8,rotate,
CEAFS00002179,2026-01-23,CEAFLEET00161,CEADLR000010,AP65CD1038,rotation,20,4,replace,competitor tyres fitted
CEAFS00002180,2025-01-25,CEAFLEET00094,CEADLR000385,TS56GH3415,rotation,12,8,none,competitor tyres fitted
CEAFS00002181,2025-05-08,CEAFLEET00314,CEADLR000399,KA97CD6456,rotation,28,1,pressure training,competitor tyres fitted
CEAFS00002182,2025-04-08,CEAFLEET00253,CEADLR000357,AP47CD7450,inspection,25,7,replace,driver unavailable
CEAFS00002183,2025-07-29,CEAFLEET00233,CEADLR000697,KL28JK3000,pressure audit,4,2,pressure training,fleet price issue
CEAFS00002184,2025-01-09,CEAFLEET00078,CEADLR000737,KL92CD4630,alignment,15,7,none,driver unavailable
CEAFS00002185,20/05/2024,CEAFLEET00163,CEADLR000393,TN71GH9874,alignment,22,8,claim,high wear
CEAFS00002186,2026-02-09,CEAFLEET00298,CEADLR000044,AP42EF7130,rotation,13,7,rotate,high wear
CEAFS00002187,09/14/2024,CEAFLEET00245,CEADLR000094,TN49EF6284,inspection,22,4,rotate,driver unavailable
CEAFS00002188,2025-04-28,CEAFLEET00220,CEADLR000516,TN62CD7851,inspection,10,2,claim,fleet price issue
CEAFS00002189,2025-12-16,CEAFLEET00082,CEADLR000383,TN11AB1328,alignment,24,7,none,competitor tyres fitted
CEAFS00002190,2024-06-26,CEAFLEET00025,CEADLR000446,KL21CD2915,inspection,18,5,claim,
CEAFS00002191,2024-06-28,CEAFLEET00191,CEADLR000678,TS51CD6520,alignment,3,8,claim,fleet price issue
CEAFS00002192,19/04/2024,CEAFLEET00070,CEADLR000661,TS18AB1735,rotation,22,5,claim,competitor tyres fitted
CEAFS00002193,2024-04-22,CEAFLEET00005,CEADLR000412,TS85GH6801,claim check,3,3,replace,driver unavailable
CEAFS00002194,2024-06-03,CEAFLEET00050,CEADLR000140,TS31JK8682,alignment,27,4,pressure training,fleet price issue
CEAFS00002195,2025-08-03,CEAFLEET00226,CEADLR000332,KA68JK2244,alignment,19,5,rotate,fleet price issue
CEAFS00002196,2025-08-29,CEAFLEET00068,CEADLR000350,AP66AB3312,fitment,18,2,claim,competitor tyres fitted
CEAFS00002197,2025-08-22,CEAFLEET00292,CEADLR000037,TS14JK4587,alignment,29,7,replace,
CEAFS00002198,2025-10-09,CEAFLEET00081,CEADLR000134,TN66AB4558,alignment,13,5,claim,fleet price issue
CEAFS00002199,2026-01-15,CEAFLEET00301,CEADLR000624,KL11JK6080,alignment,5,3,pressure training,
CEAFS00002200,2025-07-22,CEAFLEET00004,CEADLR000059,KA85GH5521,fitment,2,1,alignment,driver unavailable
CEAFS00002201,2024-04-18,CEAFLEET00309,CEADLR000174,AP84AB7456,pressure audit,5,6,alignment,fleet price issue
CEAFS00002202,2025-05-28,CEAFLEET00091,CEADLR000052,KA55EF8019,alignment,16,7,rotate,driver unavailable
CEAFS00002203,2025-01-27,CEAFLEET00222,CEADLR000594,AP28GH3480,inspection,32,4,pressure training,high wear
CEAFS00002204,2025-05-08,CEAFLEET00147,CEADLR000288,KL16AB6133,alignment,5,3,none,competitor tyres fitted
CEAFS00002205,2025-04-19,CEAFLEET00263,CEADLR000079,TS78CD5039,rotation,17,8,pressure training,competitor tyres fitted
CEAFS00002206,2024-07-17,CEAFLEET00270,CEADLR000236,TN19CD7313,alignment,28,6,none,high wear
CEAFS00002207,2025-12-08,CEAFLEET00050,CEADLR000140,AP29JK4073,fitment,14,5,none,
CEAFS00002208,08/31/2025,CEAFLEET00081,CEADLR000134,TN29AB5635,claim check,29,3,claim,fleet price issue
CEAFS00002209,2026-03-13,CEAFLEET00004,CEADLR000059,TS63EF3087,alignment,19,3,none,competitor tyres fitted
CEAFS00002210,2025-09-15,CEAFLEET00074,CEADLR000605,TN23CD5763,inspection,20,5,none,driver unavailable
CEAFS00002211,2024-04-06,CEAFLEET00237,CEADLR000642,TN29AB5926,pressure audit,21,8,rotate,high wear
CEAFS00002212,2024-09-10,CEAFLEET00281,CEADLR000065,TN17CD1755,claim check,15,3,replace,driver unavailable
CEAFS00002213,2024-12-15,CEAFLEET00146,CEADLR000109,TS20CD6196,alignment,10,2,replace,driver unavailable
CEAFS00002214,2025-12-21,CEAFLEET00152,CEADLR000148,TS57JK1116,pressure audit,31,6,pressure training,competitor tyres fitted
CEAFS00002215,2024-10-20,CEAFLEET00155,CEADLR000479,TS33EF2862,rotation,32,2,replace,high wear
CEAFS00002216,04/15/2024,CEAFLEET00112,CEADLR000207,TS26JK7101,rotation,13,1,rotate,
CEAFS00002217,2024-07-24,CEAFLEET00196,CEADLR000646,KL22CD6303,alignment,30,5,none,fleet price issue
CEAFS00002218,12-Aug-24,CEAFLEET00127,CEADLR000162,KL75AB7379,fitment,22,0,claim,high wear
CEAFS00002219,22/05/2024,CEAFLEET00139,CEADLR000408,KA73GH8969,fitment,5,6,none,driver unavailable
CEAFS00002220,2025-11-13,CEAFLEET00118,CEADLR000040,KA83GH1897,claim check,17,4,pressure training,
CEAFS00002221,2025-10-30,CEAFLEET00240,CEADLR000053,KA59JK4735,rotation,23,2,rotate,
CEAFS00002222,2025-05-09,CEAFLEET00040,CEADLR000443,KA86CD9875,alignment,21,7,claim,high wear
CEAFS00002223,01/02/2025,CEAFLEET00119,CEADLR000426,AP82JK1859,inspection,24,2,rotate,
CEAFS00002224,2025-08-31,CEAFLEET00044,CEADLR000664,KA21GH6572,claim check,10,8,none,competitor tyres fitted
CEAFS00002225,13/05/2025,CEAFLEET00238,CEADLR000734,TN48GH2402,rotation,19,7,none,high wear
CEAFS00002226,2024-11-18,CEAFLEET00046,CEADLR000018,KA93AB4426,fitment,17,1,none,competitor tyres fitted
CEAFS00002227,2024-04-20,CEAFLEET00122,CEADLR000186,KL50EF6120,rotation,14,7,rotate,
CEAFS00002228,07/09/2025,CEAFLEET00213,CEADLR000629,AP23JK2098,rotation,3,8,pressure training,
CEAFS00002229,29/04/2024,CEAFLEET00267,CEADLR000508,AP44GH5268,inspection,11,2,replace,competitor tyres fitted
CEAFS00002230,2025-10-22,CEAFLEET00153,CEADLR000312,TS82JK3436,fitment,17,2,alignment,driver unavailable
CEAFS00002231,20/12/2024,CEAFLEET00096,CEADLR000532,TS85EF3970,claim check,10,5,pressure training,fleet price issue
CEAFS00002232,25/01/2026,CEAFLEET00317,CEADLR000554,KL73EF3403,inspection,14,5,pressure training,
CEAFS00002233,2024-04-16,CEAFLEET00090,CEADLR000600,KL57GH7532,claim check,10,8,alignment,
CEAFS00002234,2025-06-19,CEAFLEET00149,CEADLR000302,TS67JK3154,alignment,15,0,alignment,driver unavailable
CEAFS00002235,2024-09-12,CEAFLEET00258,CEADLR000654,TS11EF3501,pressure audit,25,6,rotate,fleet price issue
CEAFS00002236,2026-03-11,CEAFLEET00007,CEADLR000177,KL22AB7285,claim check,9,0,rotate,driver unavailable
CEAFS00002237,2025-10-31,CEAFLEET00009,CEADLR000152,KA29EF8639,pressure audit,15,6,replace,high wear
CEAFS00002238,06/10/2024,CEAFLEET00116,CEADLR000552,KL59CD4674,rotation,8,6,replace,fleet price issue
CEAFS00002239,06/07/2024,CEAFLEET00298,CEADLR000044,AP84GH4473,pressure audit,24,5,pressure training,driver unavailable
CEAFS00002240,2024-05-30,CEAFLEET00270,CEADLR000236,TS72GH8012,pressure audit,24,0,replace,
CEAFS00002241,25/01/2025,CEAFLEET00245,CEADLR000094,AP95JK9852,fitment,25,4,alignment,
CEAFS00002242,2025-06-13,CEAFLEET00227,CEADLR000189,AP20GH6486,pressure audit,9,7,claim,
CEAFS00002243,2025-04-14,CEAFLEET00281,CEADLR000065,TS74GH2264,claim check,2,4,pressure training,competitor tyres fitted
CEAFS00002244,2024-12-18,CEAFLEET00163,CEADLR000393,AP35CD2690,claim check,21,7,alignment,driver unavailable
CEAFS00002245,2025-01-01,CEAFLEET00020,CEADLR000440,TS11CD8358,inspection,28,7,none,fleet price issue
CEAFS00002246,2025-04-09,CEAFLEET00097,CEADLR000006,AP60CD2940,rotation,2,3,replace,high wear
CEAFS00002247,2025-12-26,CEAFLEET00096,CEADLR000532,TS64AB6849,fitment,22,5,none,competitor tyres fitted
CEAFS00002248,2024-04-28,CEAFLEET00035,CEADLR000280,TS48AB2250,alignment,27,5,alignment,high wear
CEAFS00002249,2024-12-01,CEAFLEET00200,CEADLR000667,KA10EF8666,pressure audit,28,5,pressure training,fleet price issue
CEAFS00002250,2025-07-16,CEAFLEET00286,CEADLR000098,TS66JK4415,alignment,18,5,pressure training,
CEAFS00002251,2024-06-11,CEAFLEET00277,CEADLR000525,KA46JK7281,pressure audit,24,2,claim,driver unavailable
CEAFS00002252,2025-09-15,CEAFLEET00092,CEADLR000454,KA50JK1785,pressure audit,13,3,alignment,driver unavailable
CEAFS00002253,2024-09-27,CEAFLEET00319,CEADLR000451,TS84GH8881,alignment,14,4,replace,fleet price issue
CEAFS00002254,2025-08-19,CEAFLEET00198,CEADLR000698,TS66EF4178,alignment,11,5,none,
CEAFS00002255,2025-03-15,CEAFLEET00159,CEADLR000150,KA65CD2109,pressure audit,32,8,replace,driver unavailable
CEAFS00002256,09/01/2025,CEAFLEET00001,CEADLR000587,KA88JK1859,inspection,21,6,claim,
CEAFS00002257,2026-01-29,CEAFLEET00136,CEADLR000297,TN83AB2173,pressure audit,11,5,rotate,fleet price issue
CEAFS00002258,2026-03-24,CEAFLEET00274,CEADLR000701,KL74EF1657,pressure audit,28,1,replace,
CEAFS00002259,2025-04-24,CEAFLEET00168,CEADLR000414,TS54GH5348,pressure audit,16,3,rotate,high wear
CEAFS00002260,2024-11-26,CEAFLEET00094,CEADLR000385,TN37JK7328,fitment,7,4,alignment,high wear
CEAFS00002261,2025-05-31,CEAFLEET00273,CEADLR000578,TS96AB1329,alignment,13,1,none,driver unavailable
CEAFS00002262,2024-08-11,CEAFLEET00046,CEADLR000018,KL97JK7387,alignment,18,4,none,fleet price issue
CEAFS00002263,2025-04-07,CEAFLEET00079,CEADLR000264,TS32GH3452,rotation,10,1,claim,high wear
CEAFS00002264,2026-01-22,CEAFLEET00309,CEADLR000174,AP23GH8273,inspection,30,2,none,fleet price issue
CEAFS00002265,12/06/2024,CEAFLEET00195,CEADLR000324,TS21CD4320,inspection,9,3,claim,
CEAFS00002266,2025-04-25,CEAFLEET00075,CEADLR000164,KA10JK2759,rotation,28,2,alignment,driver unavailable
CEAFS00002267,2025-12-26,CEAFLEET00252,CEADLR000056,KL34JK6513,inspection,32,2,replace,fleet price issue
CEAFS00002268,2025-08-15,CEAFLEET00060,CEADLR000035,KL56GH2169,alignment,19,7,alignment,driver unavailable
CEAFS00002269,02/02/2026,CEAFLEET00158,CEADLR000454,TS74JK7603,claim check,21,2,claim,driver unavailable
CEAFS00002270,2024-11-23,CEAFLEET00245,CEADLR000094,KA60CD4480,claim check,8,4,replace,
CEAFS00002271,2025-10-07,CEAFLEET00046,CEADLR000018,KL84GH9194,rotation,21,3,none,high wear
CEAFS00002272,2024-08-01,CEAFLEET00013,CEADLR000206,AP80AB7962,fitment,15,0,claim,high wear
CEAFS00002273,2024-04-14,CEAFLEET00107,CEADLR000150,AP78CD9470,inspection,24,1,pressure training,high wear
CEAFS00002274,2025-02-15,CEAFLEET00181,CEADLR000168,AP24JK4381,fitment,27,0,replace,fleet price issue
CEAFS00002275,15/03/2025,CEAFLEET00172,CEADLR000419,AP23EF1268,alignment,7,4,claim,competitor tyres fitted
CEAFS00002276,2024-06-01,CEAFLEET00287,CEADLR000377,KA15EF8441,alignment,29,2,alignment,fleet price issue
CEAFS00002277,2024-05-21,CEAFLEET00293,CEADLR000656,AP81EF5275,pressure audit,19,3,none,high wear
CEAFS00002278,2025-02-14,CEAFLEET00209,CEADLR000492,TN93CD4956,alignment,24,8,none,competitor tyres fitted
CEAFS00002279,2024-09-28,CEAFLEET00066,CEADLR000342,TS39EF9525,claim check,9,4,alignment,fleet price issue
CEAFS00002280,2025-11-28,CEAFLEET00225,CEADLR000705,TN79JK7159,pressure audit,15,7,rotate,high wear
CEAFS00002281,2024-11-06,CEAFLEET00212,CEADLR000642,KL12CD9246,rotation,28,6,none,driver unavailable
CEAFS00002282,2025-05-22,CEAFLEET00301,CEADLR000624,TN71EF7213,alignment,15,7,claim,
CEAFS00002283,03/12/2024,CEAFLEET00061,CEADLR000466,TS81JK2801,pressure audit,2,8,rotate,
CEAFS00002284,2024-06-02,CEAFLEET00277,CEADLR000525,KA49AB1490,alignment,27,1,claim,competitor tyres fitted
CEAFS00002285,2026-02-03,CEAFLEET00181,CEADLR000168,AP81EF2299,claim check,18,6,pressure training,competitor tyres fitted
CEAFS00002286,14-Aug-24,CEAFLEET00288,CEADLR000209,TN22JK6753,claim check,16,3,alignment,fleet price issue
CEAFS00002287,2025-08-26,CEAFLEET00250,CEADLR000007,AP52AB3856,pressure audit,28,8,pressure training,
CEAFS00002288,2024-06-24,CEAFLEET00292,CEADLR000037,AP15JK5178,fitment,6,8,none,driver unavailable
CEAFS00002289,28/03/2025,CEAFLEET00094,CEADLR000385,TS20AB5695,inspection,31,1,claim,driver unavailable
CEAFS00002290,2024-10-07,CEAFLEET00049,CEADLR000040,KA15AB3898,claim check,31,8,alignment,driver unavailable
CEAFS00002291,2025-02-18,CEAFLEET00269,CEADLR000434,KA17JK9911,claim check,3,2,replace,driver unavailable
CEAFS00002292,2024-06-18,CEAFLEET00284,CEADLR000179,KL16JK3600,alignment,12,2,alignment,high wear
CEAFS00002293,2025-04-19,CEAFLEET00318,CEADLR000326,AP27CD4441,rotation,3,4,pressure training,
CEAFS00002294,02/01/2025,CEAFLEET00151,CEADLR000622,KL99EF9434,rotation,3,5,rotate,high wear
CEAFS00002295,2025-03-03,CEAFLEET00070,CEADLR000661,TS98CD4710,fitment,32,5,none,fleet price issue
CEAFS00002296,2026-03-16,CEAFLEET00197,CEADLR000392,KL74AB2020,fitment,22,8,pressure training,high wear
CEAFS00002297,2025-05-11,CEAFLEET00259,CEADLR000592,TS79CD1796,fitment,9,3,pressure training,competitor tyres fitted
CEAFS00002298,2025-09-13,CEAFLEET00025,CEADLR000446,KA12EF9647,alignment,31,6,rotate,competitor tyres fitted
CEAFS00002299,2024-12-30,CEAFLEET00294,CEADLR000531,KL42GH3426,pressure audit,5,5,none,competitor tyres fitted
CEAFS00002300,07-Sep-25,CEAFLEET00115,CEADLR000328,KL62AB9178,pressure audit,18,0,alignment,competitor tyres fitted
CEAFS00002301,2025-08-12,CEAFLEET00290,CEADLR000345,TN58GH3562,alignment,10,6,replace,driver unavailable
CEAFS00002302,2026-01-01,CEAFLEET00152,CEADLR000148,KA44AB1695,pressure audit,22,0,none,
CEAFS00002303,2025-07-27,CEAFLEET00274,CEADLR000701,KA73GH7152,rotation,10,0,claim,high wear
CEAFS00002304,05/30/2025,CEAFLEET00267,CEADLR000508,TS46JK5093,alignment,7,3,alignment,driver unavailable
CEAFS00002305,2025-01-28,CEAFLEET00128,CEADLR000485,AP40AB1185,pressure audit,26,3,rotate,competitor tyres fitted
CEAFS00002306,05/15/2024,CEAFLEET00002,CEADLR000104,AP89CD3231,inspection,22,3,rotate,
CEAFS00002307,2025-06-13,CEAFLEET00159,CEADLR000150,KL57CD4980,pressure audit,7,8,alignment,driver unavailable
CEAFS00002308,2024-05-10,CEAFLEET00118,CEADLR000040,KL41CD5192,pressure audit,21,6,claim,high wear
CEAFS00002309,2025-11-04,CEAFLEET00268,CEADLR000427,AP74EF8486,fitment,9,4,none,competitor tyres fitted
CEAFS00002310,07/12/2024,CEAFLEET00306,CEADLR000619,KL80AB7091,claim check,3,4,none,driver unavailable
